Statement,Label,word_count,avg_word_length,sentence_count,stop_words_count,noun_count,verb_count,adjective_count,adverb_count,pronoun_count,noun_verb_ratio,adj_adv_ratio,sentiment_polarity,sentiment_subjectivity,word2vec_average,unique_word_count,lexical_diversity,punctuation_count,uppercase_word_count,avg_sentence_length,exclamation_mark_count
Healthy food gives your child the energy and nutrients they need to grow and develop. ,fact,15,4.73,1,6,4,4,1,0,2,0.8,1,0.5,0.5,0.005989863,14,0.93,1,0,85,0
Healthy eating also helps develop their sense of taste. ,fact,9,5.22,1,2,4,2,0,1,1,1.333333333,0,0.5,0.5,0.004413243,9,1,1,0,55,0
Healthy family food and eating patterns in the early years can set up healthy eating habits for life.,fact,18,4.67,1,6,9,1,2,0,0,4.5,2,0.37,0.43,0.004679408,17,0.94,1,0,101,0
One criteria to support optimal development is healthy eating. ,fact,9,6,1,2,3,2,2,0,0,1,2,0.5,0.5,0.003362469,9,1,1,0,62,0
"Children need the proper nutrients and energy levels to develop. These are obtained through healthy food, as well as healthy eating patterns.",fact,22,5.45,2,8,7,4,3,2,0,1.4,1,0.33,0.37,0.004622122,20,0.91,3,0,70,0
"Parents should encourage healthy eating habits. These habits include always having fresh fruit handy for snacks; encouraging children to try vegetables with different textures, colours and tastes; and involving children in planning and preparing meals.",fact,35,6.23,2,10,15,7,3,1,0,1.875,1.5,0.35,0.62,0.003802114,32,0.91,5,0,125.5,0
"Babies are born with the ability to taste sweet, bitter, and sour; however, they can’t taste salt until they’re 4 months old, when sodium-sensitive receptor proteins begin to emerge in the taste buds",fact,33,5.06,1,11,9,8,6,1,2,1,3,0.05,0.36,0.00422735,29,0.88,6,0,199,0
The taste buds that could sense salt would be developed only after your child turns four months old. Similarly the kidney also uses sodium only after a new-born baby has turned four months old. Salt is very important for the body. ,fact,41,4.63,3,15,10,9,4,5,1,1,0.666666667,0.12,0.59,0.003833461,35,0.85,4,0,76,0
Their tastebuds only recognise sweet and sour. Salt isn’t brought into the equation until around the age of four months.,fact,20,5.05,2,8,7,2,3,1,1,2.333333333,1.5,0.07,0.58,0.004205409,19,0.95,2,0,59.5,0
"Your baby actually has many more tastebuds than you, spread across her whole mouth rather than just on her tongue. While you were pregnant, she got a tiny taste of everything you ate, and she'll continue to enjoy the same flavours as you in your breastmilk. She may even show a preference for these foods later in life.",fact,58,4.52,3,29,11,8,6,5,11,1.222222222,1,0.21,0.35,0.004431186,52,0.9,7,0,105.67,0
Babies' stomachs are surprisingly tiny,fact,5,6.8,1,1,2,1,1,1,0,1,0.5,0,0.5,0.002582978,5,1,1,0,38,0
A newborn's stomach is only the size of a hazelnut. ,fact,10,4.2,1,6,4,1,0,1,0,2,0,0,1,0.005932923,10,1,2,1,51,0
This explains why very young babies need to feed so often they just don't have room in their tiny tummies to drink all the milk they need at once! ,fact,29,4.07,1,16,4,7,2,6,3,0.5,0.285714286,0.07,0.51,0.004564243,26,0.9,2,0,146,1
"It also means that even the smallest of air bubbles takes up precious space, which is why your baby may need winding during and after feeds",fact,26,4.38,1,12,5,5,2,2,2,0.833333333,0.666666667,0.5,1,0.004741395,26,1,1,0,139,0
"Your baby's stomach will grow quickly, reaching the size of an apricot by the end of the first week, and the size of a large hen's egg by the end of two weeks. ",fact,33,3.85,1,16,11,2,2,1,1,3.666666667,1,0.27,0.42,0.005844502,23,0.7,5,0,159,0
"However, she'll still need to feed at night until she's at least six months old.",fact,15,4.4,1,5,2,3,2,2,2,0.5,0.666666667,-0.1,0.3,0.003327248,14,0.93,4,0,80,0
The development to taste may correspond to the development of the kidneys.,fact,12,5.25,1,6,4,1,0,0,0,2,0,0,0,0.007097396,9,0.75,1,0,74,0
"Picky eating may be frustrating, but it’s perfectly normal. Just continue to introduce new foods and have patience as you serve up macaroni and cheese yet again.",fact,27,5,2,10,6,7,3,4,2,0.75,0.6,-0.04,0.67,0.003986574,26,0.96,3,0,80,0
Girls who eat regular family meals in a pleasant atmosphere are less likely than average to develop an eating disorder and become overweight,fact,23,5.13,1,8,6,4,4,1,0,1.2,2,0.08,0.5,0.004088616,23,1,0,0,140,0
Baby poo changes over time,fact,5,4.4,1,1,4,0,0,0,0,4,0,0,0,0.002298721,5,1,0,0,26,0
"Your baby's first poos are made up of a dark, sticky substance called meconium. ",fact,14,4.71,1,5,5,3,2,0,1,1.25,2,0.05,0.37,0.003736418,14,1,3,0,79,0
"After that, what you find in your baby's nappy will depend on whether you're breastfeeding or formula-feeding. ",fact,17,5.53,1,9,2,4,1,0,3,0.4,1,0,0,0.003793123,17,1,5,0,110,0
One unsung benefit of breastfeeding is that it tends to make baby poo less smelly!,fact,15,4.53,1,5,4,3,1,2,1,1,0.333333333,-0.21,0.07,0.004775219,15,1,1,0,82,1
Try not to worry too much about how often your baby does a poo. ,fact,14,3.57,1,8,2,3,1,3,1,0.5,0.25,0.2,0.2,0.004971837,14,1,1,0,63,0
"It may be several times a day, it may be once every three days. ",fact,14,3.57,1,6,3,2,1,1,2,1,0.5,0,0,0.004484114,12,0.86,2,0,63,0
"The important thing is just to figure out what's normal for your baby, and look out for any changes",fact,19,4.26,1,11,3,4,2,1,1,0.6,1,0.28,0.82,0.004871612,17,0.89,2,0,99,0
"Our baby poo photo gallery may not be pretty, but it's great for helping you work out what's normal and what may need further attention",fact,25,4.44,1,11,5,6,3,2,3,0.714285714,1,0.3,0.72,0.00371982,24,0.96,3,0,135,0
"Potty training is a milestone that most children don’t learn until age 3 or later, so don’t be distressed if your 2-year-old isn’t ready. Watch for their readiness cues like staying dry for long periods or complaints about dirty diapers.",fact,40,4.95,2,15,17,6,8,1,2,2.428571429,4,0,0.47,0.003931958,37,0.92,5,0,118,0
"Nappies can hide other surprises, too",fact,6,5.33,1,3,2,1,1,1,0,1,0.5,-0.12,0.38,0.002964115,6,1,1,0,37,0
"Babies are born with extra fluid in their bodies, which can cause their genitals to be a bit swollen for the first few days. ",fact,24,4.21,1,13,6,4,4,0,2,1.2,4,0.01,0.16,0.005584718,23,0.96,2,0,124,0
"Baby girls are also born with some of their mother's hormones, and this can sometimes result in a creamy white discharge, or even a mini period in the first few days.",fact,31,4.39,1,15,7,3,5,3,1,1.75,1.25,0.02,0.14,0.005622041,29,0.94,4,0,166,0
"This is all perfectly normal in the early days with your baby. However, you should see your GP if your baby boy still has swollen genitals after a few days, or if your baby girl still has discharge after six weeks",fact,41,4.22,2,21,11,5,3,4,5,1.833333333,0.6,0.02,0.35,0.00439333,33,0.8,3,1,106,0
"Child development refers to biological, psychological and emotional changes that happen in humans between birth and the end of adolescence, at which time the individual goes from dependence to independence. ",fact,30,5.9,1,13,12,2,3,0,0,4,3,0,0.38,0.00551371,27,0.9,3,0,206,0
"Early foundations are critical because attitudes, habits and patterns of behaviour established during early years determine to a large extent how successfully individuals will adjust in their later life.",fact,29,6.03,1,11,9,4,5,1,1,1.8,2.5,0.19,0.46,0.004239163,29,1,2,0,203,0
"When you grant your toddler independence, they develop confidence and a greater sense of self.",fact,15,5.33,1,7,5,2,1,0,3,1.666666667,1,0.5,0.5,0.005188838,15,1,2,0,94,0
Children behave better when parents are involved in their education at home and at school.,fact,15,5.07,1,7,5,3,1,0,1,1.25,1,0.5,0.5,0.005536128,14,0.93,1,0,90,0
"Toddlers can begin to learn manners like saying please, thank you and I’m sorry. These will become habits you’ll be glad you created!",fact,23,4.83,2,8,6,9,2,0,4,0.6,2,0.06,1,0.00385934,22,0.96,3,0,66,1
The child forms his or her sense of self,fact,9,3.56,1,5,3,1,0,0,2,1.5,0,0,0,0.005128133,9,1,0,0,40,0
"Toddlers develop the foundations of healthy self-esteem even before they’re verbal, based on what you teach them about themselves.",fact,19,5.89,1,8,3,4,3,1,4,0.6,1.5,0.5,0.5,0.004250409,19,1,3,0,130,0
Toddlers have a universal desire to help without the expectation of getting something for it,fact,15,5.2,1,7,4,3,1,0,1,1,1,0,0,0.005770498,15,1,0,0,92,0
"As early as 14 months, try offering them responsibilities and chores to help them feel valuable and like they have a place and purpose in the home. Here are some chores you can offer your toddler: Throwing away pieces of trash around the house, Letting them clean up/wipe up spills (you can offer a spray bottle of water to help clean tables or other surfaces), __Letting them transfer clothes from washer to dryer, Helping to “fold” laundry, Setting the table for mealtimes and sorting silverware__",fact,85,4.88,2,36,23,18,7,4,8,1.210526316,1.4,0.18,0.52,0.004578914,67,0.79,14,0,249,0
"Opening and closing doors, __Prepping snacks: peeling eggs or oranges; chopping soft foods like bananas or avocados (supervised), __Taking small bags of trash out, Feeding pets, Loading the dishwasher, Watering plants, Helping with siblings, Opening mail or packages",fact,38,6.03,1,7,18,9,2,0,0,1.8,2,-0.07,0.38,0.002632123,35,0.92,15,0,266,0
"Setting your child up to help with chores takes time and energy, but trust us: it’s worth it. ",fact,18,4.22,1,6,4,5,1,1,4,0.666666667,0.5,0.3,0.1,0.004352526,18,1,3,0,93,0
"The benefits extend far beyond that one specific task. Helping around the house cultivates self-esteem, teaches real life skills, and instills in your toddler a real sense of belonging. ",fact,29,5.41,2,8,10,3,4,1,1,2.5,2,0.12,0.43,0.003776145,28,0.97,5,0,92,0
"Best of all, they’ll want to continue helping ",fact,8,4.75,1,2,0,4,2,0,1,0,2,1,0.3,0.00370832,8,1,1,0,45,0
"About early child development, It’s also the changes in your child’s social, emotional, behaviour, thinking and communication skills. All of these areas of development are linked, and each depends on and influences the others",fact,34,5.65,2,15,14,4,4,2,2,2.8,1.333333333,0.04,0.34,0.005325066,30,0.88,6,0,112,0
EACH PHASE OF DEVELOPMENT HAS CHARACTERISTIC BEHAVIOUR,fact,7,6.86,1,3,7,0,0,0,0,7,0,-0.07,0.47,0.000759085,7,1,0,7,54,0
"Each Phase has certain characteristic behaviours. The patterns are marked by periods of equilibrium when individuals adapt easily to environmental demands and as a result, make a good personal and social adjustment and by periods of disequilibrium, when they experience difficulty in adaptation, make a poor personal and social adjustment",fact,50,5.78,2,21,14,7,9,1,1,1.75,4.5,0.1,0.44,0.005082062,37,0.74,4,0,168.5,0
"Tantrums are normal—there’s a reason for the phrase the “terrible twos!” Toddlers experience a lot of frustration, which often leads to a meltdown. If handled appropriately, most toddlers outgrow the behavior.",fact,31,5.77,2,13,11,6,4,3,0,1.571428571,1,-0.25,0.75,0.004668228,27,0.87,5,0,104,1
Toddlers learn appropriate behavior by watching those around them. Keep in mind that your little one is watching you and will learn from what you do—even the things you wish they wouldn’t,fact,32,4.88,2,15,5,9,3,0,6,0.5,3,0.16,0.5,0.005176837,28,0.88,1,0,93,0
Toddlers need help identifying their emotions. ,fact,6,6.83,1,1,2,3,0,0,1,0.5,0,0,0,0.003061764,6,1,1,0,46,0
"Talk to your child about the emotions they seem to be feeling, like sadness or frustration, and explain what it means and how to adjust.",fact,25,4.48,1,14,5,5,1,0,3,0.833333333,1,0,0,0.00643526,22,0.88,3,0,136,0
Social competence is linked to emotional well-being and a child’s ability to adapt to his environment. ,fact,16,5.44,1,7,6,4,2,0,1,1.2,2,0.02,0.36,0.005700955,14,0.88,2,0,102,0
"child development is best understood through the interrelated contexts of family, school, community and society. ",fact,15,6.53,1,5,7,1,2,1,0,3.5,1,1,0.3,0.004517026,15,1,3,0,112,0
"The emotional health of young children is closely tied to the social and emotional characteristics of the environments in which they live.""",fact,22,5.36,1,11,4,3,4,1,1,1,2,0.05,0.45,0.00666496,19,0.86,2,0,139,0
"It goes on to claim that the early emotional experiences of young children ""literally become embedded in the architecture of their brains.”",fact,22,5.36,1,10,5,4,3,1,2,1,1.5,0.07,0.45,0.00591082,20,0.91,2,0,139,0
"Aim to encourage children to try new experiences, to push themselves a little bit more. ",fact,15,4.87,1,5,4,3,2,1,1,1,1,0.15,0.48,0.004710341,13,0.87,2,0,87,0
"Comfort children, play with them, and foster learning. That is the perfect description of an early childhood educator’s role.",fact,19,5.63,2,7,8,2,3,1,1,2.666666667,1.5,0.55,0.65,0.004613634,19,1,4,0,62,0
DEVELOPMENT IS AIDED BY STIMULATION,fact,5,6.2,1,2,5,0,0,0,0,5,0,0,0,0.000240117,5,1,0,5,35,0
"A child’s development may be influenced by genetics, environmental factors, nutrition, and even parenting.",fact,14,6.64,1,4,8,2,1,1,0,2.666666667,0.5,0,0,0.004551066,14,1,4,1,106,0
"In general, development happens in the same order in most children, but skills might develop at different ages or times. ",fact,20,5.05,1,9,7,1,4,0,0,3.5,4,0.14,0.43,0.004749023,19,0.95,3,0,120,0
"The development is strongly influenced by genetic, mental, physical and social factors that may happen during the progression. ",fact,18,6.06,1,7,3,3,4,1,0,0.75,2,0.09,0.29,0.004839772,18,1,3,0,126,0
"Children develop at different levels. In particular, children having autism spectrum troubles or Down syndrome may have different development than usual or substandard motor development. ",fact,25,6.48,2,8,11,3,5,0,0,2.75,5,-0.05,0.41,0.004000379,23,0.92,3,0,92.5,0
Ideas about how children develop psychologically have changed over time.,fact,10,6.3,1,4,3,3,0,1,0,0.75,0,0,0.1,0.003546651,10,1,1,0,72,0
"The initial experiences may not be remembered by a child in the long run. But these experiences play a massive role in the positive development of the brain, attitude, and temperament. It is the right time to inculcate good food habits, the right sleeping and other disciplinary habits in kids",fact,50,4.88,3,23,15,5,9,1,1,2.5,4.5,0.17,0.5,0.005650864,40,0.8,5,0,97,0
Other things that shape child development,fact,6,6,1,2,4,0,1,0,0,4,1,-0.12,0.38,0.00446599,6,1,0,0,41,0
"Your child’s genes and other factors like healthy eating, physical activity, health and the neighbourhood you live in also influence your child’s development and wellbeing.",fact,25,5.92,1,9,14,2,3,1,3,4.666666667,1.5,0.13,0.38,0.005357568,22,0.88,3,0,172,0
nurture as the most important part of child development.,fact,9,5.33,1,4,4,0,1,1,0,4,0.5,0.45,0.75,0.005995827,9,1,1,0,56,0
"Nurture your child to keep trying when they fail at something, as this provides them with more opportunities towards success.",fact,20,5.3,1,10,4,4,1,1,3,0.8,0.5,0.1,0.27,0.004962319,20,1,2,0,125,0
Enjoying and feeling close to your baby helps their development,fact,10,5.4,1,4,3,2,1,0,2,1,1,0.5,0.6,0.006406303,10,1,0,0,63,0
Early Childhood Development Essentials,fact,4,8.75,1,0,3,0,0,1,0,3,0,0.1,0.3,0.000472174,4,1,0,0,38,0
"Within their first eight years of life, children learn and develop at different rates.",fact,14,5.21,1,4,4,2,2,0,1,1.333333333,2,0.12,0.47,0.005520111,14,1,2,0,86,0
"Your child’s early years are a very important time for their physical, emotional, intellectual and social development.",fact,17,6,1,7,5,2,6,1,2,1.666666667,3,0.16,0.43,0.005438264,17,1,3,0,118,0
"Although child development follows certain patterns, each child develops at their own pace. ",fact,13,6.08,1,4,5,2,2,0,1,1.666666667,2,0.41,0.79,0.003676188,12,0.92,2,0,91,0
Children progress at different rates and have different ways in which they learn best. ,fact,14,5.21,1,6,4,2,3,0,1,1.333333333,3,0.33,0.5,0.005669632,13,0.93,1,0,86,0
Child development: differences among children,fact,5,8.2,1,0,4,0,0,0,0,4,0,0,0,0.002544911,5,1,1,0,45,0
"Many will progress toward some milestones quickly, while others will take longer. ",fact,12,5.83,1,4,2,2,2,1,0,0.666666667,1,0.42,0.5,0.002083045,11,0.92,2,0,81,0
"Furthermore, some children will progress toward outcomes in different, yet equally meaningful ways. ",fact,13,6.69,1,3,3,1,2,3,0,1.5,0.5,0.25,0.55,0.002438117,13,1,3,0,99,0
"There is no one set path for development, and parents must remember that learning is not always predictable and linear.",fact,20,5,1,9,4,5,2,2,0,0.666666667,0.666666667,-0.2,0.5,0.005142285,18,0.9,2,0,119,0
Development is not a race to the finish line. ,fact,9,4.11,1,5,3,1,1,1,0,1.5,0.5,0,0,0.006172664,9,1,1,0,45,0
It is important to not read too much into the development of children who may or may not achieve certain milestones early or later.,fact,24,4.5,1,12,3,3,3,5,1,0.75,0.5,0.18,0.41,0.005815218,21,0.88,1,0,131,0
"Despite this, there are an internationally recognised set of milestones that most children meet at certain ages.",fact,17,5.65,1,7,4,2,3,1,0,1.333333333,1.5,0.24,0.36,0.004101863,17,1,2,0,112,0
"These milestones should be used only as guidelines. If parents are concerned, they should check with their health professional before jumping to conclusions.",fact,23,5.87,2,13,6,6,0,1,2,0.857142857,0,0.05,0.55,0.004634086,22,0.96,3,0,78,0
"As adults, we use the foundation built in early childhood in almost every aspect of our day-to-day lives.",fact,18,4.89,1,7,5,2,2,1,2,1.666666667,1,0.1,0.3,0.003928115,17,0.94,4,0,105,0
"the stage of infancy builds the framework for their abilities to process language, so holding casual conversations with a baby is extremely important for their development later in life.",fact,29,5.45,1,13,9,4,2,3,2,1.8,0.5,-0.03,0.62,0.005472846,26,0.9,2,0,186,0
Child development can be promoted by simple age appropriate activities that can be easily done at home. ,fact,17,5.12,1,7,5,4,2,1,0,1,1,0.31,0.56,0.004523264,15,0.88,1,0,103,0
"For example, to help the baby follow an object you can show a colorful cup to your baby, just out of reach. When you are sure the child sees the cup, move it slowly from one side to the other and up and down, in front of the child. Then move the cup closer. Encourage the baby to reach for the cup and grab the handle. ",fact,66,3.83,4,36,16,10,3,5,4,1.454545455,0.5,0.04,0.47,0.006009654,47,0.71,8,0,78.75,0
ROLE OF MATURATION AND LEARNING IN DEVELOPMENT,fact,7,5.71,1,3,7,0,0,0,0,7,0,0,0,0.000576593,7,1,0,7,46,0
Maturation and learning play a significant role in development. ,fact,9,6.11,1,3,3,2,1,0,0,1,1,0.38,0.88,0.006127709,9,1,1,0,63,0
Maturation is unfolding an individual’s inherent traits. ,fact,7,7.14,1,2,4,2,2,0,0,1.333333333,2,0,0.4,0.002823331,7,1,1,0,56,0
Learning is a development that occurs from experience and efforts on the individual’s part. Maturation provides the raw material for learning. ,fact,21,5.81,2,9,10,3,2,0,0,2.5,2,-0.12,0.43,0.005012158,20,0.95,2,0,70.5,0
"Generally, development is influenced by the interaction of both.",fact,9,6.22,1,4,2,2,0,1,0,0.666666667,0,0.05,0.5,0.005427733,9,1,2,0,64,0
"While all children grow and develop in similar patterns, each child develops at his or her own pace.",fact,18,4.61,1,10,4,3,2,0,2,1,2,0.3,0.7,0.00519749,18,1,2,0,100,0
DEVELOPMENT FOLLOWS A DEFINITE AND PREDICTABLE PATTERN,fact,7,6.86,1,2,7,0,0,0,0,7,0,-0.1,0.5,0.001408993,7,1,0,7,54,0
"There are orderly patterns of physical, motor, intellectual and speech development",fact,11,6.55,1,4,4,1,3,0,0,2,3,0.15,0.27,0.004421832,11,1,2,0,82,0
The Pattern Of Physical Changes. Children’s growth follows a directional pattern in which the center of the body begins to develop before the extremities.,fact,24,5.46,2,11,10,3,2,0,0,2.5,2,-0.05,0.12,0.004591057,22,0.92,2,0,76.5,0
"Small muscles develop after larger muscles, and from there development moves in a top-down pattern that begins at the head and moves down towards the toes.",fact,26,5,1,12,8,3,3,1,0,2,1.5,-0.14,0.4,0.004757699,23,0.88,3,0,155,0
"Bones are also changing; when your baby is born they have a total of 300 bones, but by the time they reach adulthood they will only have 206 bones. This is because a number of bones, such as the skull, fuse together as your child ages. ",fact,46,4.13,2,26,12,8,1,4,5,1.333333333,0.2,0,0.75,0.005807333,36,0.78,6,0,117,0
"But, they lack experience and are still developing the ability to think about their own thinking and learning (metacognition) and to regulate their own behavior and interactions. ",fact,27,5.63,1,14,7,5,2,1,3,1.166666667,1,0.6,1,0.006165129,21,0.78,4,0,178,0
They need diverse experiences in the classroom to help them develop these self-reflective and self-regulatory skills.,fact,16,6.38,1,7,3,3,3,0,2,0.75,3,0,0,0.005194331,16,1,3,0,117,0
"Child development refers to the changes that occur as a child grows and develops in relation to being physically healthy, mentally alert, and emotionally and socially healthy.",fact,27,5.52,1,11,8,2,3,4,0,2.666666667,0.6,0.23,0.46,0.005585134,24,0.89,3,0,175,0
Childhood development depends on the interaction between genes and environmental variables. ,fact,11,7.36,1,4,5,1,1,0,0,2.5,1,0,0,0.004490539,11,1,1,0,91,0
"For example, a child may have the genes to grow tall, but if it doesn’t have the proper nutrition, it may never achieve full height.",fact,25,4.32,1,11,6,5,4,1,2,1,2,0.17,0.33,0.005038355,21,0.84,4,0,132,0
"While most development occurs as a result of maturation and environmental experiences, much can be done to aid development so that it will reach its full potential. ",fact,27,5.11,1,14,6,5,4,0,2,1,4,0.26,0.56,0.005258261,26,0.96,2,0,164,0
"Stimulation is especially effective at the time when the ability is normally developing, though it is important at all times.",fact,20,5.3,1,10,4,3,3,2,1,1,1,0.52,0.88,0.005333345,16,0.8,2,0,125,0
DEVELOPMENT IS AFFECTED BY CULTURAL CHANGES,fact,6,6.33,1,2,6,0,0,0,0,6,0,0.1,0.1,0.000199226,6,1,0,6,43,0
"An individual’s development is moulded to conform to cultural standards and norms, while changes in these standards affect the developmental pattern.",fact,21,6.14,1,9,8,4,3,0,0,1.6,3,0.05,0.25,0.004531837,19,0.9,2,0,149,0
"Efforts to improve early child development are an investment, not a cost. ",fact,12,5.17,1,5,5,2,1,1,0,1.666666667,0.5,0.1,0.3,0.005629493,12,1,2,0,73,0
Babies grow at an insanely speedy rate,fact,7,4.57,1,2,3,1,1,0,0,1.5,1,-1,1,0.003080349,7,1,0,0,38,0
They Grow Up So Fast. Every parent has said this at some point of time and its true in every sense of the word. ,fact,24,3.67,2,13,5,3,1,2,2,1.25,0.333333333,0.28,0.62,0.004511213,23,0.96,2,0,55,0
"The first 6 years are very important for a child’s growth, which is why it is of utmost importance that they get proper nutrition that aids their growth and development.",fact,30,4.67,1,16,8,5,5,1,3,1.333333333,2.5,0.26,0.48,0.005610854,28,0.93,2,0,169,0
From The Inside Out,fact,4,4,1,3,2,0,0,0,0,2,0,0,0,0.001538666,4,1,0,0,19,0
"Children actually develop from the inside out, starting with large muscle groups and systems at the center of the body. Then growth and progress gets started on smaller physiological systems.",fact,30,5.4,2,11,10,4,3,2,0,2,1,0.02,0.25,0.004568662,27,0.9,3,0,95,0
Developmental delays should NEVER be ignored.,fact,6,6.67,1,2,2,2,0,1,0,0.666666667,0,0,0,0.002486568,6,1,1,1,45,0
At 2 years old her child is slightly delayed. If they receive the right support we can push them forward so that they are now on-par with the child development norms for their age. ,fact,34,4.32,2,18,7,5,3,3,6,1.166666667,0.75,0.07,0.3,0.004842556,31,0.91,3,0,89.5,0
"When the health visitor makes a routine development assessment, they might suggest that there could be a problem, but if you have any worries of your own at any time, you should ask for advice right away",fact,37,4.51,1,21,8,5,2,2,4,1.333333333,0.666666667,0.44,0.77,0.004775188,34,0.92,3,0,203,0
"Some children may have additional communication needs, or need additional support with learning and you can ask for your child to have a developmental assessment if you have any concerns",fact,30,5.23,1,16,8,5,3,0,3,1.333333333,3,0,0,0.00561418,26,0.87,1,0,186,0
"While no two kids are alike, the nature vs nurture debate is interesting when considering gender differences. ",fact,17,5.47,1,6,6,4,1,1,0,1.2,0.5,0.5,0.5,0.003213402,17,1,2,0,109,0
"Obviously, girls and boys develop differently from one another – both physically and emotionally, but by how much and why are up for debate. ",fact,24,4.88,1,12,4,2,1,4,0,1.333333333,0.2,0.04,0.42,0.005094688,22,0.92,3,0,140,0
"While it is certainly noticeable once puberty hits, different developmental timetables can be seen, although possibly more subtlety, from a young age",fact,22,5.82,1,9,4,3,5,4,1,1,1,0.2,0.52,0.003576404,22,1,3,0,149,0
"Naturally, all kids are different, and their individual development may not necessarily tow the gender line. ",fact,16,5.81,1,6,4,2,2,3,1,1.333333333,0.5,0.03,0.6,0.0047519,16,1,3,0,108,0
"Nonetheless, sex can be an important component when thinking about factors that influence child development. ",fact,15,6.27,1,6,6,2,1,1,0,2,0.5,0.4,1,0.00445371,15,1,2,0,108,0
"Physically there tends to be little difference in height and weight until late elementary school but it is thought that some cognitive and social skills develop earlier in girls, who are also known to mature earlier than their male counterparts.",fact,40,5.15,1,18,7,9,6,3,2,0.7,1.5,-0.01,0.38,0.004902587,36,0.9,2,0,245,0
"Most parents will attest to the fact that their sons are very different from their daughters, not just developmentally but also in the way they play, act, react, behave, and think. But why is that? Do we treat them alike or do we parent them differently? Do we have different expectations of them based purely on their sex? Do they receive the same discipline? What are natural inherent differences versus those that are influenced by external factors (i.e. us!)?",fact,79,4.87,8,44,14,18,7,8,12,0.736842105,0.777777778,0.1,0.45,0.004383965,64,0.81,16,0,57.12,1
"Aside from the biological differences between boys and girls, gendered expectations and social norms can also influence a child’s development. ",fact,20,6.15,1,7,9,2,2,2,0,3,0.666666667,0.03,0.07,0.005069941,19,0.95,2,0,142,0
"More often, without realizing it, our own perceived gender roles can influence the way in which we parent our children which in itself can have profound effects on their thoughts, behavior, and actions. ",fact,33,5.15,1,17,8,5,2,2,6,1.333333333,0.666666667,0.39,0.83,0.004101271,29,0.88,5,0,202,0
"It stands to reason that no two children (even multiples) will do the exact same thing for the same amount of time, so naturally, some might advance faster or in different ways than others. ",fact,34,4.59,1,17,8,3,4,4,1,2,0.8,0.07,0.3,0.004587974,32,0.94,5,0,189,0
We even see these differences in same-sex siblings whose personalities or natural abilities and interests may also lead us to play with them or treat them differently and thereby affecting their individual developmental timetable,fact,34,5.76,1,12,7,5,3,4,5,1.166666667,0.6,0.03,0.47,0.004441888,31,0.91,1,0,229,0
"Babies are born ready to learn, and their brains develop through use.",fact,12,4.83,1,5,3,4,1,0,1,0.6,1,0.2,0.5,0.005365216,12,1,2,0,69,0
Babies’ learning starts in pregnancy,fact,5,6.4,1,1,3,2,0,0,0,1,0,0,0,0.003673182,5,1,0,0,36,0
"Much of what children learn, they learn when they are very young.",fact,12,4.5,1,7,1,3,2,1,2,0.25,1,0.17,0.36,0.005890234,11,0.92,2,0,65,0
Babies learn much faster than adults,fact,6,5.17,1,1,2,1,1,1,0,1,0.5,0.2,0.2,0.003407019,6,1,0,0,36,0
Connecting with your baby is good for their development so take time to focus on them. ,fact,16,4.44,1,8,3,3,2,1,3,0.75,1,0.7,0.6,0.005878504,16,1,1,0,86,0
"When you actively say, sing and do the activities with baby, the developmental benefits are increased, and we all know screen time for our little ones should be restricted.",fact,29,4.97,1,15,5,8,3,1,3,0.555555556,1.5,-0.16,0.55,0.004982633,27,0.93,4,0,172,0
"Even before she was born, your baby learned to recognise your voice, and perhaps even your partner's. ",fact,17,5,1,8,3,4,0,3,4,0.6,0,0,0,0.004610902,15,0.88,4,0,101,0
"Now that she's surrounded by so much stimulation, she's learning all the time. Her brain is forming connections at an incredible rate, as she discovers more about the world around her.",fact,31,4.97,2,17,6,6,3,3,5,0.857142857,0.75,0.53,0.53,0.004570121,29,0.94,6,0,91.5,0
When your baby kicks you can respond by stroking your stomach and talking to them.,fact,15,4.53,1,8,3,3,0,0,4,0.75,0,0,0,0.005710617,14,0.93,1,0,82,0
Children are born ready to learn. ,fact,6,4.67,1,2,1,3,1,0,0,0.25,1,0.2,0.5,0.005221113,6,1,1,0,33,0
Children are the first scientists.,fact,5,6,1,2,2,1,1,0,0,1,1,0.25,0.33,0.00677946,5,1,1,0,34,0
"your toddler is processing a lot. Try to keep this in mind and give them (and yourself) a break next time they express big emotions in the form of a meltdown, tantrum, or power struggle",fact,35,4.31,2,15,11,6,2,0,4,1.571428571,2,0,0.05,0.005090916,32,0.91,5,0,92,0
Praise her efforts.,fact,3,5.67,1,1,2,0,0,0,1,2,0,0,0,0.001980139,3,1,1,0,19,0
Children who are encouraged to talk to themselves aloud have increased probability of learning,fact,14,5.79,1,7,2,6,1,0,1,0.285714286,1,0,0,0.005530835,13,0.93,0,0,94,0
"Kids learn best in happy, healthy, playful, and stimulating environments – whether in the home, outdoors, in child care, or in places in their neighbourhood and community. ",fact,27,5.37,1,10,9,3,4,0,1,2.25,4,0.77,0.6,0.005132558,22,0.81,7,0,171,0
Children are curious. ,fact,3,6.33,1,1,1,1,1,0,0,0.5,1,-0.1,1,0.005207718,3,1,1,0,21,0
Children are naturally curious,fact,4,6.75,1,1,1,1,1,1,0,0.5,0.5,-0.1,1,0.004257112,4,1,0,0,30,0
